timestampSec,isShooting,playerPosX,playerPosY,playerPosZ,aimYawSpeed,aimPitchSpeed,moveSpeed,deltaYaw,deltaPitch,health,weaponId,isOnGround,distanceToNearestEnemy
7.50,0,64.00,64.00,4.50,0.00,0.00,0.00,0.00,0.00,100,6,1,9999.00
9.72,0,57.00,115.00,1.50,134.00,0.00,51.57,134.00,0.00,100,6,1,9999.00
9.93,0,59.00,100.00,0.50,46.00,0.00,15.17,46.00,0.00,100,3,1,9999.00
10.13,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
10.34,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
10.54,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
10.74,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
10.94,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
11.14,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
11.35,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
11.56,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
11.76,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
11.96,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
12.16,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
12.36,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
12.56,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
12.77,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
12.98,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
13.18,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
13.39,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
13.59,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
13.79,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
13.99,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
14.19,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
14.39,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
14.59,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
14.80,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
15.00,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
15.20,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
15.41,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
15.61,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
15.81,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
16.01,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
16.22,0,59.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,100,3,1,9999.00
